Rk,Team,Inning,G,Runs,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
350,PIT,1,117,33,477,431,96,11,4,13,32,4,3,40,131,0.223,0.291,0.357,0.649,154,8,3,0,3,0,2,0.286,100,77
351,COL,8,119,32,470,433,92,16,1,12,29,1,2,29,127,0.213,0.269,0.337,0.606,146,10,5,1,2,0,1,0.27,66,78
352,MIA,1,118,32,466,422,91,15,2,11,32,11,3,36,132,0.216,0.277,0.339,0.615,143,14,1,0,4,0,3,0.283,84,68
353,KCR,9,92,30,382,341,76,11,2,8,29,5,1,36,99,0.223,0.302,0.337,0.639,115,5,3,1,1,1,2,0.289,87,91
354,CHC,9,92,29,376,332,64,15,1,5,28,6,4,33,109,0.193,0.282,0.289,0.571,96,4,9,0,2,2,2,0.268,62,72
355,OAK,2,118,29,456,418,83,15,2,8,25,6,4,31,131,0.199,0.26,0.301,0.561,126,10,4,2,1,0,2,0.268,80,65
357,DET,9,99,27,384,352,67,9,2,8,26,1,0,26,103,0.19,0.253,0.296,0.548,104,4,4,0,2,1,0,0.243,79,64
358,TOR,9,84,27,343,312,72,13,0,4,24,4,0,27,87,0.231,0.295,0.311,0.606,97,7,2,1,1,1,1,0.306,63,82
359,TBR,9,85,24,344,309,63,8,0,4,24,5,1,30,83,0.204,0.282,0.269,0.551,83,7,4,0,1,1,0,0.265,64,66
360,HOU,9,86,22,333,306,63,11,0,7,22,1,1,23,68,0.206,0.27,0.311,0.581,95,7,4,0,0,3,1,0.242,59,73
