Rk,I,Team,Split,Year,G,R,GS,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
81,,TBR,Innings 7-9,2022,114,131,,1300,1166,264,48,4,22,128,27,7,112,327,0.226,0.299,0.331,0.63,386,21,12,3,7,3,7,0.294,86,86
82,,OAK,Innings 1-3,2022,117,128,,1425,1278,274,60,4,32,120,24,8,117,339,0.214,0.289,0.343,0.631,438,26,19,5,6,0,5,0.265,103,78
83,,PIT,Innings 1-3,2022,116,128,,1422,1285,292,57,7,33,118,19,7,114,379,0.227,0.295,0.36,0.655,462,31,13,2,8,0,5,0.294,102,84
84,,CHC,Innings 7-9,2022,114,127,,1343,1198,275,48,4,28,119,26,7,114,326,0.23,0.307,0.346,0.653,415,27,22,2,7,5,12,0.29,84,92
85,,WSN,Innings 7-9,2022,116,127,,1381,1243,293,60,4,28,124,14,3,105,309,0.236,0.304,0.358,0.662,445,32,20,4,7,3,10,0.29,92,94
86,,DET,Innings 7-9,2022,119,125,,1359,1242,268,47,5,25,119,10,2,92,360,0.216,0.276,0.322,0.598,400,24,15,1,9,2,10,0.281,95,76
87,,HOU,Innings 7-9,2022,118,119,,1315,1179,258,54,5,37,114,13,4,113,305,0.219,0.293,0.367,0.661,433,25,14,1,7,8,6,0.262,79,93
88,,OAK,Innings 4-6,2022,117,119,,1405,1291,273,49,2,31,107,28,5,93,305,0.212,0.268,0.325,0.592,419,33,10,1,10,0,15,0.251,90,65
89,,MIA,Innings 1-3,2022,117,114,,1413,1293,297,49,6,30,110,28,6,97,352,0.23,0.285,0.347,0.632,448,37,8,1,11,1,10,0.29,89,78
90,,DET,Innings 1-3,2022,119,112,,1436,1321,303,55,5,18,108,18,15,89,341,0.229,0.281,0.32,0.601,422,28,11,3,12,0,12,0.293,96,70
